screen_name,text,source,retweet_count,hashtags,mentions_screen_name,searchTerm,disease,Preprocesstext,Sentiment
rachillionaire,"@femmebostonian @Cherrell_Brown This has been super helpful. I switched from levothyroxine to synthroid due to cost, and need to get back to taking it regularly. I was hard headed about taking it bc Iâ€™m so wary of western medicine. Thanks again!!",Twitter for iPhone,0,,femmebostonian Cherrell_Brown,Levothyroxine,Cancer,this has been super helpful switched from levothyroxine to synthroid due to cost and need to get back to taking it regularly was hard headed about taking it bc so wary of western medicine thanks again,positive
renae_dePerio,For a decade I was on Levothyroxine 137 mcg. I was not seeing any changes in my symptoms. I was even bumped up to 175mcg for a bit but it caused bad heart palpitations. I was switched to synthroid. It was suggested my body was not absorbing the levo...,Twitter for iPhone,0,,,Levothyroxine,Cancer,for decade was on levothyroxine mcg was not seeing any changes in my symptoms was even bumped up to mcg for bit but it caused bad heart palpitations was switched to synthroid it was suggested my body was not absorbing the levo,negative
junglismastiff,@yourAAH Hi could you tell me which of your UK pharmacies stock your 75mcg levothyroxine,Twitter for Android,0,,yourAAH,Levothyroxine,Cancer,hi could you tell me which of your uk pharmacies stock your mcg levothyroxine,neutral
notsydvicious,And my levothyroxine,Twitter for iPhone,0,,,Levothyroxine,Cancer,and my levothyroxine,neutral
Juniper_publish,"Telephone Survey to Assess Substitution of Electronically Prescribed Branded Levothyroxine: The e-Rx LT4 Study by Jill M Paulson in Journal of Endocrinology and Thyroid Research (JETR)
https://t.co/mKflEi5xKI",Twitter Web Client,0,,,Levothyroxine,Cancer,telephone survey to assess substitution of electronically prescribed branded levothyroxine the rx lt study by jill paulson in journal of endocrinology and thyroid research jetr,neutral
Princeaurora200,"Dear pfiser, Thyroxine.fatalities occur,  Ny puberty. Growth hormone deficiency. for 2003. Levothyroxine. Why don't writer in idiot. Power.",Mobile Web (M2),0,,,Levothyroxine,Cancer,dear pfiser thyroxine fatalities occur ny puberty growth hormone deficiency for levothyroxine why don writer in idiot power,negative
Princeaurora200,"Dear pfiser, Thyroxine. Ny puberty. Growth hormone deficiency. for 2003. Levothyroxine. Why don't writer in idiot. Power.",Mobile Web (M2),0,,,Levothyroxine,Cancer,dear pfiser thyroxine ny puberty growth hormone deficiency for levothyroxine why don writer in idiot power,negative
microRNA_papers,Serum microRNA profiles in athyroid patients on and off levothyroxine therapy. https://t.co/gFHJzHSJs7,dlvr.it,0,,,Levothyroxine,Cancer,serum microrna profiles in athyroid patients on and off levothyroxine therapy,neutral
ImagineThatBaby,"RT @handmade_dorset: And there I was home again <f0><U+009F><U+0098><U+008A> What an adventure <U+2B50>
#thyroidcancer #thyroid #hashimotos #livingwell #gratitude #handmadedâ€¦",Twitter Web Client,1,thyroidcancer thyroid hashimotos livingwell gratitude,handmade_dorset,Levothyroxine,Cancer,and there was home again what an adventure thyroidcancer thyroid hashimotos livingwell gratitude handmaded,neutral
medschat,Levothyroxine And Ringing In The Ears https://t.co/rJSR0WNdkL,MedsChat.com,0,,,Levothyroxine,Cancer,levothyroxine and ringing in the ears,neutral
War_Kittens,"@beaglebets I am thinking that these are due to my thyroid deciding to go rogue, going to the doctor for that tomorrow.

If they don't clear up after a bit on levothyroxine, I've got 3 months of headache diaries to take to a specialist. Let's hope! Th",Twitter for Android,0,,beaglebets,Levothyroxine,Cancer,am thinking that these are due to my thyroid deciding to go rogue going to the doctor for that tomorrow if they don clear up after bit on levothyroxine ve got months of headache diaries to take to specialist let hope than,positive
mildddoo,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for iPhone,88,,PharmaFactz,Levothyroxine,Cancer,iron supplements decrease absorption of levothyroxine fluoroquinolones tetracyclines ace inhibitors,neutral
medschat,Levothyroxine Made By Sandoz - Strange Smell https://t.co/M5yl3sqNi1,MedsChat.com,0,,,Levothyroxine,Cancer,levothyroxine made by sandoz strange smell,negative
lorrainecleaver,#Endocrine - none as blind as those that won't see. https://t.co/X8L2nJwIDH,Twitter Web Client,0,Endocrine,,Levothyroxine,Cancer,endocrine none as blind as those that won see,negative
Melisandreilidh,clearly ainâ€™t hypothyroidism if changing your diet fixes it. i have it + turn into a zombie by 3pm if i donâ€™t take my levothyroxine when i first get up <f0><U+009F><U+00A7><U+009F><U+200D><U+2640><U+FE0F>,Twitter for iPhone,0,,,Levothyroxine,Cancer,clearly ain hypothyroidism if changing your diet fixes it have it turn into zombie by pm if don take my levothyroxine when first get up fe,positive
MissSarah_Jay,@iamkihek @proseccokitty Both but mainly it'd the fact they (the NHS) don't want to pay for Liothyronine instead of Levothyroxine as the pharmaceutical company is charging the NHS 300 pounds a pack..,Twitter for Android,0,,iamkihek proseccokitty,Levothyroxine,Cancer,both but mainly it the fact they the nhs don want to pay for liothyronine instead of levothyroxine as the pharmaceutical company is charging the nhs pounds pack,positive
DrMVanderpump,On #levothyroxine and still don't feel well? #underactivethyroid https://t.co/HaYo4FQGRr https://t.co/BiDFJ0Ep7I,The Social Jukebox,0,levothyroxine underactivethyroid,,Levothyroxine,Cancer,on levothyroxine and still don feel well underactivethyroid,negative
scottisaacsmd,Treating  borderline low thyroid levels can increase the risk for death.Â  https://t.co/qm42CQegW0 https://t.co/S71ukAptur,LinkedIn,0,,,Levothyroxine,Cancer,treating borderline low thyroid levels can increase the risk for death,negative
HypothyroidInfo,Hypothyroidism can be well treated with manufactured levothyroxine; the dose is adjusted according to symptoms and thyroxine/tsh levels.,ForexTricks,0,,,Levothyroxine,Cancer,hypothyroidism can be well treated with manufactured levothyroxine the dose is adjusted according to symptoms and thyroxine tsh levels,positive
