searchTerm,SideEffects
Levothyroxine,"tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding"
Herceptin,"diarrhea,irritation,muscle pain,stomach,headache,insomnia,nausea,weight loss,rash,no appitite,mouth sores,loss of appetite,tiredness,allergic,dopey,resisting,beat up,hotflashes,weight loss,rage,oedema,flu symptoms,hungrier,vomiting,rheumatoidarthritis,no taste,jitters,drunk,ms,addiction,zombied"
Lasix,"nausea,diarrhea,constipation,stomach cramping,spins,dizziness,headache,blurred vision,itching,itch,rashes,eye twitches,heart arrhythmia,productive,nauseous,nasal spray,irrational,attention-killing,grumpy,sedated,stuffy sinuses,impotency,kidney stones,never have another orgasm,daydream,rollercoastery,seizures,bruises,gorked,crabby,tingling,reaction,prozac,insomniac"
Lantus,"anxiety,behavior change,blurred vision,chills,cold sweats,confusion,seizures,pale skin,difficulty with thinking,dizzinessÊ,drowsiness,excessive hunger,fast heartbeat,headache,nausea,nervousness,nightmares,restless sleep,shakiness,slurred speech,tingling,need to sleep,weird,binge,copaxone,twitches,relaxing,disturbed sleep,coughing,weakened,cotton mouth,unconscious,tolerant,angry,brain zap,anger,yawning,pooped out,arthritis,diarrhea"
Losartan,"cry,withdrawls,forgetting,knee pain,haze,vertigo,mania,stop breathin,sting,stomach,stomach cramps,heart stopped,deliriousness,craving,mood,painful,depakote,tweaking,psychosis,raised my blood pressure,crazier,coma,emotional,rash,aching bones,hangover,anaphylactic shock,raging,remicaid,back ache,depression,suicidal,dehydration,sedative,legs,jaw clenching,nasty,mute"
Avastin,"dry mouth,cough,voice changes,no appetite,diarrhea,nausea,vomiting,constipation,mouth sores,headache,back pain,cold symptoms,watery eyes,flaky skin,hair loss,no taste,jaw pain,loose teeth or,gum infection,numb,numbness,swollen,swole,rebound,thinks,bloodbath,overreacted,sleeping,weak,yawn,shivering,thyroid,flushed,ambien,manic"
Carvedilol,"dizziness,lightheadedness,drowsiness,diarrhea,nausea,vomiting,weakness,tiredness,headache,joint pain,cough,dry eyes,vision changes,ejaculate,fast speech,lost effectiveness,cough,yucky,digestive system,addict,chronic fatigue sydrome,fever,rocking,lamitol,fog,restlessness,loopy,crazies,sore throats,retarded,psychotic episode,plateau,night terrors,voice,weaker,lexapro,anxious,thirsty,instability,mean,dry nose,hurts,unresponsible,headache,dissociation,never sleeping,mood swings,ate,relaxes"
Canagliflozin,"urinary tract infections,increased urination,yeastÊinfections,vaginal itching,thirst,constipation,nausea,fatigue,weakness,carb cravings,cant sleep,passes out,dying,hot,withdrawal,hip,tingling feet,autoimmune disease,jolting,sleepy,lucid dreaming,hives,uti,dead,ataxia,shoulder ache,sweat,groggy,not hungry,overheating,no appetite,limping,stress,head spin,bedridden,random crying,terrifying,veins,spondylitis"
Revlimid,"weird dreams,depressed,tremors,fat,wear-off,sleep cycle,water weight,diabetes,ocd,ache,sad,antsy,inflammation,hunger,discomfort,acne,tired,palpitate,starves,put on weight,vampire,priapism,lupus flare,addicted,melatonin,hurting,withdrawn,hyper,plan on eating,mixed episode,lethargic,putting me to sleep,gaps in memory,leg pain,eat,epilepsy,halitosis,spazzing out,poisoned"
Lisinopril,"cough,dizziness,headache,extreme tiredness,nausea,diarrhea,weakness,sneezing,runny nose,low sex drive,rash,slow,vomit,cataplexy,experience diarrhea,lucidity,kinda jittery,gaining weight,sedating,sleep walking,exhausting,oversleeping,tweaking,sick to my stomach,boobs humungous,hyper-sensitive,never sleep,barely function,migraines,swollen"
Humalog,"blurred vision,chills,cold sweats,confusion,depression,dizziness,drowsiness,excessive hunger,fast heartbeat,fever,headache,irritability,lower pain,nightmares,painful urination,restless sleep,seizures,shakiness,slurred speech,sleepless,memory loss,prolactin,sun sensitivity,dizziness,vomited,diabetes risk,after-sting,dyslexic,flare,horny,irritability,sleep,mad,sluggish,out of it,mtx,anxiety,glaucoma,gastic upset,pee every five minutes,wired,neck ache,stressful,lightheaded,smoke,drowsy"
Atorvastatin,"constipation,diarrhea,nausea,fatigue,gas,heartburn,headache,mild muscle pain,mind races,fatigue,citalopram,discontinuation syndrome,lungs,orgasm,itchy skin,hit hard,slow turtle,tweak,negative,thinker,restless legs,leflunomide,cold,increased appetite,all nighter,shaky,nuasea,hungry,mirtazapine,awake,high,toxic reactions,burping,hangovers,mood dips"
Rituxan,"nightmares,aches,sleepdisorder,zoloft,no energy,pain in neck,nausea,sloth,over think,knee ache,hairloss,muscle spasms,nauesousness,zombified,weak knees,eating,passing out,asleep 24/7,rls,constipation,quality"
Levemir,"weight gain,headache,back pain,stomach pain,flu symptoms,crohns disease,olanzapine lbs,weightgain,burns,breath smells,neck pain,insomnia,bad dreams,flat,dreaming,nightmare,numb,joint pain,burnt,exhaustion,neck,not feeling good,stopped working,restless leg syndrome,hungover,respiratory probs,skin issues,crazy,zombie,inhaler,crippled,paraesthesia,stressed,throat,withdrawls,stomach hurt,high bp,disconnected,blurry vision,remicade,fast pulse"
Amlodipine,"tiredness,stomach pain,nausea,dizziness,sleepy,tremors,aching,nap,sick,nosebleed,disable,sleepies,boner killer,memory,pale,scared,numbness,dry-mouth,stomach ache,backspasms,withdrawal"
