,screen_name,text,source,retweet_count,hashtags,mentions_screen_name,searchTerm,disease,Preprocesstext,Sentiment,ADRE,Symptoms,SideEffects,Unspecified_ADR
0,renae_dePerio,For a decade I was on Levothyroxine 137 mcg. I was not seeing any changes in my symptoms. I was even bumped up to 175mcg for a bit but it caused bad heart palpitations. I was switched to synthroid. It was suggested my body was not absorbing the levo...,Twitter for iPhone,0,,,Levothyroxine,Cancer,for decade was on levothyroxine mcg was not seeing any changes in my symptoms was even bumped up to mcg for bit but it caused bad heart palpitations was switched to synthroid it was suggested my body was not absorbing the levo,negative,"['up', 'bad', 'heart', 'palpit']","[('even bumped up', 'up to mcg'), ('it caused bad', 'bad heart palpitations'), ('caused bad heart', 'heart palpitations was'), ('bad heart palpit', 'palpit ations was')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding","['up', 'bad', 'palpit']"
1,Princeaurora200,"Dear pfiser, Thyroxine.fatalities occur,  Ny puberty. Growth hormone deficiency. for 2003. Levothyroxine. Why don't writer in idiot. Power.",Mobile Web (M2),0,,,Levothyroxine,Cancer,dear pfiser thyroxine fatalities occur ny puberty growth hormone deficiency for levothyroxine why don writer in idiot power,negative,"['fatal', 'defici']","[('pfiser thyroxine fatal', 'fatal ities occur'), ('growth hormone defici', 'defici ency for')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding","['fatal', 'defici']"
2,Princeaurora200,"Dear pfiser, Thyroxine. Ny puberty. Growth hormone deficiency. for 2003. Levothyroxine. Why don't writer in idiot. Power.",Mobile Web (M2),0,,,Levothyroxine,Cancer,dear pfiser thyroxine ny puberty growth hormone deficiency for levothyroxine why don writer in idiot power,negative,['defici'],"[('growth hormone defici', 'defici ency for')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding",['defici']
3,scottisaacsmd,Treating  borderline low thyroid levels can increase the risk for death.Â  https://t.co/qm42CQegW0 https://t.co/S71ukAptur,LinkedIn,0,,,Levothyroxine,Cancer,treating borderline low thyroid levels can increase the risk for death,negative,"['low', 'thyroid', 'can', 'increas', 'risk', 'death']","[('treating borderline low', 'low thyroid levels'), ('borderline low thyroid', 'thyroid levels can'), ('thyroid levels can', 'can increase the'), ('levels can increas', 'increas e the'), ('increase the risk', 'risk for death'), None]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding","['low', 'thyroid', 'can', 'increas', 'risk', 'death']"
4,MINXY_ROCHELLE,@TaylorHelga Ive always been prescribed levothyroxine for underactive thyroid.  I still struggle with my weight. And always tired <f0><U+009F><U+0098><U+00A2> xx,Twitter for Android,0,,TaylorHelga,Levothyroxine,Cancer,ive always been prescribed levothyroxine for underactive thyroid still struggle with my weight and always tired xx,negative,"['thyroid', 'struggl', 'weight', 'tire']","[('for underactive thyroid', 'thyroid still struggle'), ('thyroid still struggl', 'struggl e with'), ('with my weight', 'weight and always'), ('and always tire', 'tire d xx')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding","['thyroid', 'struggl', 'weight', 'tire']"
5,scchapterofacp,Levothyroxine therapy may increase risk for death in older adults https://t.co/iW4kV4O6xB,Twitter Web Client,0,,,Levothyroxine,Cancer,levothyroxine therapy may increase risk for death in older adults,negative,"['may', 'increas', 'risk', 'death']","[('levothyroxine therapy may', 'may increase risk'), ('therapy may increas', 'increas e risk'), ('may increase risk', 'risk for death'), ('risk for death', 'death in older')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding","['may', 'increas', 'risk', 'death']"
6,sarahoelker,"The implicit ""OMG you're addicted"" message here cheeses me off because hey, assholes: drug addiction is ALSO a medical condition, and my body is also dependent upon levothyroxine, albeit in different bodily systems, so shut the hell up. https://t.co/7aJyYW2eIE",TweetDeck,0,,,Levothyroxine,Cancer,the implicit omg you re addicted message here cheeses me off because hey assholes drug addiction is also medical condition and my body is also dependent upon levothyroxine albeit in different bodily systems so shut the hell up,negative,"['addict', 'addict', 'up']","[('you re addict', 'addict ed message'), ('you re addict', 'addict ed message'), ('also dependent up', 'up on levothyroxine')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding","['addict', 'addict', 'up']"
7,bringinsexybach,"@C_GraceT I also couldn't stop taking my levothyroxine without experiencing ill effects, when's the NYT going to start wringing their hands about our society's regrettable dependence on synthetic thyroid hormone, huh?",Twitter Web Client,0,,C_GraceT,Levothyroxine,Cancer,also couldn stop taking my levothyroxine without experiencing ill effects when the nyt going to start wringing their hands about our society regrettable dependence on synthetic thyroid hormone huh,negative,['thyroid'],"[('on synthetic thyroid', 'thyroid hormone huh')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding",['thyroid']
8,priellan,would you get call someone with hypothyroidism dependent on their levothyroxine because they have to take it every day to regulate their thyroid and not suffer the mental and physical symptoms?,TweetDeck,0,,,Levothyroxine,Cancer,would you get call someone with hypothyroidism dependent on their levothyroxine because they have to take it every day to regulate their thyroid and not suffer the mental and physical symptoms,negative,['thyroid'],"[('with hypo thyroid', 'thyroid ism dependent')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding",['thyroid']
9,KijonaiaArt,"@kittykaya Nonono, he's sometimes up UNTIL 2-3am. I actually just thought of that it might be insomnia in relation to his levothyroxine. His doc changed his dosage a few months back and said the levels all looked great at the one-month blood test, but I'm",Twitter Web Client,0,,kittykaya,Levothyroxine,Cancer,nonono he sometimes up until am actually just thought of that it might be insomnia in relation to his levothyroxine his doc changed his dosage few months back and said the levels all looked great at the one month blood test but,negative,"['up', 'insomnia', 'back', 'blood']","[('he sometimes up', 'up until am'), ('might be insomnia', 'insomnia in relation'), ('few months back', 'back and said'), ('one month blood', 'blood test but')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding","['up', 'insomnia', 'back', 'blood']"
10,KijonaiaArt,"@bunnieandbea See, Scott sleeps in so late no matter when he goes to bed, and he's SO hard to wake up. Is that a side effect of hypothyroidism maybe? Or his levothyroxine? I just thought about that. :O I should ask his doctor at the next appt.",Twitter Web Client,0,,bunnieandbea,Levothyroxine,Cancer,see scott sleeps in so late no matter when he goes to bed and he so hard to wake up is that side effect of hypothyroidism maybe or his levothyroxine just thought about that should ask his doctor at the next appt,negative,"['sleep', 'up']","[('see scott sleep', 'sleep s in'), ('to wake up', 'up is that')]","tummy trouble,boner kryptonite,chest infections,hallucinate,tendonitis,relax,poor sleep,irritability,restless,erectile dysfunction,no sleep,topomax,ejaculation,fatness,hot flashes,miserable,antidepressants,nauseated,floatin,chest hurt,headache,dizzy,ptsd,puking,head hurts,adhd,connective tissue,aching knees,dries mouth,chest pounding,suicide,heart rate,lethargy,confusion,headache,head pain,head pounding",['up']
