status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,searchTerm,disease
x985284092609490944,4/14/2018 22:30,x222999406,buysextoys71,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,twittbot.net,,,,FALSE,FALSE,0,0,,,bit.ly/a6PUYn?=4,https://t.co/wAoqUl71is,http://bit.ly/a6PUYn?=4,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x985279280916652032,4/14/2018 22:11,x4341864387,rachillionaire,"@femmebostonian @Cherrell_Brown This has been super helpful. I switched from levothyroxine to synthroid due to cost, and need to get back to taking it regularly. I was hard headed about taking it bc Iâ€™m so wary of western medicine. Thanks again!!",Twitter for iPhone,x985278427342262273,x302076495,femmebostonian,FALSE,FALSE,0,0,,,,,,,,,,,,,,x302076495 278901890,femmebostonian Cherrell_Brown,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x985265303885053952,4/14/2018 21:15,x852970126597029888,renae_dePerio,For a decade I was on Levothyroxine 137 mcg. I was not seeing any changes in my symptoms. I was even bumped up to 175mcg for a bit but it caused bad heart palpitations. I was switched to synthroid. It was suggested my body was not absorbing the levo...,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x985164807165890563,4/14/2018 14:36,x719809458570977280,junglismastiff,@yourAAH Hi could you tell me which of your UK pharmacies stock your 75mcg levothyroxine,Twitter for Android,,x3834377903,yourAAH,FALSE,FALSE,0,0,,,,,,,,,,,,,,x3834377903,yourAAH,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x985149172478365696,4/14/2018 13:34,x850192152,notsydvicious,And my levothyroxine,Twitter for iPhone,x984966956297195526,x850192152,notsydvicious,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x985102899427487744,4/14/2018 10:30,x222999406,buysextoys71,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,twittbot.net,,,,FALSE,FALSE,0,0,,,bit.ly/a6PUYn?=4,https://t.co/wAoqUl71is,http://bit.ly/a6PUYn?=4,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x985038543742558209,4/14/2018 6:14,x3311413009,Juniper_publish,"Telephone Survey to Assess Substitution of Electronically Prescribed Branded Levothyroxine: The e-Rx LT4 Study by Jill M Paulson in Journal of Endocrinology and Thyroid Research (JETR)
https://t.co/mKflEi5xKI",Twitter Web Client,,,,FALSE,FALSE,0,0,,,juniperpublishers.com/jetr/JETR.MS.Iâ€¦,https://t.co/mKflEi5xKI,https://juniperpublishers.com/jetr/JETR.MS.ID.555569.php,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984831110164103168,4/13/2018 16:30,x222999406,buysextoys71,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,twittbot.net,,,,FALSE,FALSE,0,0,,,bit.ly/a6PUYn?=4,https://t.co/wAoqUl71is,http://bit.ly/a6PUYn?=4,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984809869462069248,4/13/2018 15:05,x755456353246863362,Princeaurora200,"Dear pfiser, Thyroxine.fatalities occur,  Ny puberty. Growth hormone deficiency. for 2003. Levothyroxine. Why don't writer in idiot. Power.",Mobile Web (M2),,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984809591144964096,4/13/2018 15:04,x755456353246863362,Princeaurora200,"Dear pfiser, Thyroxine. Ny puberty. Growth hormone deficiency. for 2003. Levothyroxine. Why don't writer in idiot. Power.",Mobile Web (M2),,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984778156363034624,4/13/2018 12:59,x2799935377,microRNA_papers,Serum microRNA profiles in athyroid patients on and off levothyroxine therapy. https://t.co/gFHJzHSJs7,dlvr.it,,,,FALSE,FALSE,0,0,,,dlvr.it/QPQ2K7,https://t.co/gFHJzHSJs7,http://dlvr.it/QPQ2K7,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984773293994659841,4/13/2018 12:40,x58633071,ImagineThatBaby,"RT @handmade_dorset: And there I was home again <f0><U+009F><U+0098><U+008A> What an adventure <U+2B50>
#thyroidcancer #thyroid #hashimotos #livingwell #gratitude #handmadedâ€¦",Twitter Web Client,,,,FALSE,TRUE,0,1,thyroidcancer thyroid hashimotos livingwell gratitude,,,,,,,,,,,,,x791398480103301120,handmade_dorset,en,,,x983082339831111680,"And there I was home again <f0><U+009F><U+0098><U+008A> What an adventure <U+2B50>
#thyroidcancer #thyroid #hashimotos #livingwell #gratitude #handmadedorset #grateful #lifegoals #mystory #wellbeing #adventure #levothyroxine #thyroidectomy #Dorsetteam https://t.co/d8n9GedlPU",,,,,,,,,,Levothyroxine,Cancer
x984681092748861440,4/13/2018 6:34,x25726490,medschat,Levothyroxine And Ringing In The Ears https://t.co/rJSR0WNdkL,MedsChat.com,,,,FALSE,FALSE,0,0,,,medschat.com/Discuss/Levothâ€¦,https://t.co/rJSR0WNdkL,https://www.medschat.com/Discuss/Levothyroxine-and-Ringing-in-the-Ears-291145.htm?utm_source=twitter&utm_medium=social&utm_campaign=social_media,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984670876158382080,4/13/2018 5:53,x966256179239424000,lugolsolution,"LUGOL'S SOLUTION and levothyroxine are now on WHO's List of Essential Medicines, 20th Edition (March 2017) - Levothyroxine is the main ingredient in the #1 selling prescription drug SynthroidÂ®) https://t.co/OFP8jQHLEO https://t.co/iUSpfgepCh",Twitter Web Client,,,,FALSE,FALSE,0,0,,,lugol.com/pages/preventiâ€¦,https://t.co/OFP8jQHLEO,https://www.lugol.com/pages/preventing-iodine-deficiency,http://pbs.twimg.com/media/DapA6_jW4AA7C-r.jpg,https://t.co/iUSpfgepCh,https://twitter.com/lugolsolution/status/984670876158382080/photo/1,photo,http://pbs.twimg.com/media/DapA6_jW4AA7C-r.jpg,https://t.co/iUSpfgepCh,https://twitter.com/lugolsolution/status/984670876158382080/photo/1,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984625050363015169,4/13/2018 2:51,x2270376266,War_Kittens,"@beaglebets I am thinking that these are due to my thyroid deciding to go rogue, going to the doctor for that tomorrow.

If they don't clear up after a bit on levothyroxine, I've got 3 months of headache diaries to take to a specialist. Let's hope! Than",Twitter for Android,x984624302661120000,x2297251502,beaglebets,FALSE,FALSE,1,0,,,,,,,,,,,,,,x2297251502,beaglebets,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984593987443961856,4/13/2018 0:47,x2592700856,mildddoo,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for iPhone,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x984559317192863744,4/12/2018 22:30,x222999406,buysextoys71,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,twittbot.net,,,,FALSE,FALSE,0,0,,,bit.ly/a6PUYn?=4,https://t.co/wAoqUl71is,http://bit.ly/a6PUYn?=4,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984552747193298946,4/12/2018 22:04,x25726490,medschat,Levothyroxine Made By Sandoz - Strange Smell https://t.co/M5yl3sqNi1,MedsChat.com,,,,FALSE,FALSE,0,0,,,medschat.com/Discuss/levothâ€¦,https://t.co/M5yl3sqNi1,https://www.medschat.com/Discuss/levothyroxine-made-by-sandoz-strange-smell-318124.htm?utm_source=twitter&utm_medium=social&utm_campaign=social_media,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984529069734850560,4/12/2018 20:29,x48097106,lorrainecleaver,#Endocrine - none as blind as those that won't see. https://t.co/X8L2nJwIDH,Twitter Web Client,,,,FALSE,FALSE,0,0,Endocrine,,goo.gl/xhh2ua,https://t.co/X8L2nJwIDH,https://goo.gl/xhh2ua,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984520834629844992,4/12/2018 19:57,x43731638,Melisandreilidh,clearly ainâ€™t hypothyroidism if changing your diet fixes it. i have it + turn into a zombie by 3pm if i donâ€™t take my levothyroxine when i first get up <f0><U+009F><U+00A7><U+009F><U+200D><U+2640><U+FE0F>,Twitter for iPhone,x984520831672832000,x43731638,Melisandreilidh,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984519891603607552,4/12/2018 19:53,x749541238819422209,MissSarah_Jay,@iamkihek @proseccokitty Both but mainly it'd the fact they (the NHS) don't want to pay for Liothyronine instead of Levothyroxine as the pharmaceutical company is charging the NHS 300 pounds a pack..,Twitter for Android,x984515381891973120,x820430301578964992,iamkihek,FALSE,FALSE,0,0,,,,,,,,,,,,,,x820430301578964992 764270871389364224,iamkihek proseccokitty,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984421683577655296,4/12/2018 13:23,x2598356706,DrMVanderpump,On #levothyroxine and still don't feel well? #underactivethyroid https://t.co/HaYo4FQGRr https://t.co/BiDFJ0Ep7I,The Social Jukebox,,,,FALSE,FALSE,2,0,levothyroxine underactivethyroid,,bit.ly/23LjyYQ,https://t.co/HaYo4FQGRr,http://bit.ly/23LjyYQ,http://pbs.twimg.com/media/DaleTYTVwAAWytD.jpg,https://t.co/BiDFJ0Ep7I,https://twitter.com/DrMVanderpump/status/984421683577655296/photo/1,photo,http://pbs.twimg.com/media/DaleTYTVwAAWytD.jpg,https://t.co/BiDFJ0Ep7I,https://twitter.com/DrMVanderpump/status/984421683577655296/photo/1,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984400328362733568,4/12/2018 11:58,x213754594,scottisaacsmd,Treating  borderline low thyroid levels can increase the risk for death.Â  https://t.co/qm42CQegW0 https://t.co/S71ukAptur,LinkedIn,,,,FALSE,FALSE,0,0,,,lnkd.in/evDw3HX lnkd.in/eJ4nYtW,https://t.co/qm42CQegW0 https://t.co/S71ukAptur,https://lnkd.in/evDw3HX https://lnkd.in/eJ4nYtW,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984378124421902336,4/12/2018 10:30,x222999406,buysextoys71,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,twittbot.net,,,,FALSE,FALSE,0,0,,,bit.ly/a6PUYn?=4,https://t.co/wAoqUl71is,http://bit.ly/a6PUYn?=4,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984321188146098177,4/12/2018 6:43,x4895996812,88ruaa1,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for iPhone,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x984316977207545856,4/12/2018 6:27,x2480365200,HypothyroidInfo,Hypothyroidism can be well treated with manufactured levothyroxine; the dose is adjusted according to symptoms and thyroxine/tsh levels.,ForexTricks,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984279550682116096,4/12/2018 3:58,x2194197938,Amit291092,Oral iron salts reduce absorption of other drugs - such as bisphosphonates an #levothyroxine Oral iron salts reduce absorption of other drugs - such as bisphosphonates and levothyroxine Oral iron salts duce absorption of other drugs - such as bisphosphonates and ... .. ... .. ...,Twitter Web Client,,,,FALSE,FALSE,0,0,levothyroxine,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984196931801890816,4/11/2018 22:30,x222999406,buysextoys71,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,twittbot.net,,,,FALSE,FALSE,0,0,,,bit.ly/a6PUYn?=4,https://t.co/wAoqUl71is,http://bit.ly/a6PUYn?=4,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984122946858954752,4/11/2018 17:36,x1283092914,Clutter2,@MightyDredd @Azeem_Majeed I'm supplied 56 days Levothyroxine and 42 days Liothyronine for hypothyroidism. Doesn't make sense to me.,Twitter Web Client,x983304554434498560,x2940619996,MightyDredd,FALSE,FALSE,0,0,,,,,,,,,,,,,,x2940619996 1396575560,MightyDredd Azeem_Majeed,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984106328099450880,4/11/2018 16:30,x222999406,buysextoys71,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,twittbot.net,,,,FALSE,FALSE,0,0,,,bit.ly/a6PUYn?=4,https://t.co/wAoqUl71is,http://bit.ly/a6PUYn?=4,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984080895039619072,4/11/2018 14:49,x2425920108,wildkid1501,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for Android,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x984079310758739969,4/11/2018 14:42,x729288187013693440,maperezcruz,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for Android,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x984028753549578241,4/11/2018 11:21,x551499025,earaches,"Soooo I should have been taking the levothyroxine for my thyroid like, 2 weeks ago, and even though Sofiane told me she'd called he failed to tell me that... Thanks mate!!!!!!!",Twitter for Android,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x984017542049075201,4/11/2018 10:37,x388237343,KhadyMany,RT @MothLyssa: @EveEnreve @KhadyMany @agnesbuzyn #Levothyrox crisis in France: one year after Merck's disastrous launch of a new formula ofâ€¦,Twitter Web Client,,,,FALSE,TRUE,0,6,Levothyrox,,,,,,,,,,,,,x936254311360860161 920274504106037249 388237343 864830560560132097,MothLyssa EveEnreve KhadyMany agnesbuzyn,en,,,x975798233242001409,"@EveEnreve @KhadyMany @agnesbuzyn #Levothyrox crisis in France: one year after Merck's disastrous launch of a new formula of #levothyroxine, about 1 million switched to alternative #thyroxine drugs! A growing number of lawsuits are being brought against #",,,,,,,,,,Levothyroxine,Cancer
x984015731640717318,4/11/2018 10:30,x222999406,buysextoys71,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUloCH2,twittbot.net,,,,FALSE,FALSE,0,0,,,bit.ly/a6PUYn?=4,https://t.co/wAoqUloCH2,http://bit.ly/a6PUYn?=4,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x983973468298412033,4/11/2018 7:42,x45830369,MINXY_ROCHELLE,@TaylorHelga Ive always been prescribed levothyroxine for underactive thyroid.  I still struggle with my weight. And always tired <f0><U+009F><U+0098><U+00A2> xx,Twitter for Android,x918779626247413760,x970742528,TaylorHelga,FALSE,FALSE,1,0,,,,,,,,,,,,,,x970742528,TaylorHelga,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x983971422233157632,4/11/2018 7:34,x25726490,medschat,Taking Levothyroxine Every Other Day https://t.co/6lzbTI0xVb,MedsChat.com,,,,FALSE,FALSE,0,0,,,medschat.com/Discuss/takingâ€¦,https://t.co/6lzbTI0xVb,https://www.medschat.com/Discuss/taking-levothyroxine-every-other-day-302788.htm?utm_source=twitter&utm_medium=social&utm_campaign=social_media,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x983889184728539136,4/11/2018 2:07,x720996238884253696,Sanyaqur,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter Web Client,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x983743948291129344,4/10/2018 16:30,x222999406,buysextoys71,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,twittbot.net,,,,FALSE,FALSE,0,0,,,bit.ly/a6PUYn?=4,https://t.co/wAoqUl71is,http://bit.ly/a6PUYn?=4,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x983712691888971776,4/10/2018 14:25,x979905394288898048,JerbieCastro,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for iPhone,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x983709050255892482,4/10/2018 14:11,x3795769703,scchapterofacp,Levothyroxine therapy may increase risk for death in older adults https://t.co/iW4kV4O6xB,Twitter Web Client,,,,FALSE,FALSE,0,0,,,goo.gl/CWS8hx,https://t.co/iW4kV4O6xB,https://goo.gl/CWS8hx,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x983706261303775232,4/10/2018 14:00,x2412518042,ProfVeterinario,"Safety of orally administered, USP-compliant #levothyroxine sodium tablets in #dogs | #ECM https://t.co/vBYRXPjSIb",PostPickr,,,,FALSE,FALSE,1,0,levothyroxine dogs ECM,,bit.ly/2GLV5wJ,https://t.co/vBYRXPjSIb,http://bit.ly/2GLV5wJ,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x983702118522675202,4/10/2018 13:43,x954148778,nwachuzo,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for Android,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x983694700384108544,4/10/2018 13:14,x553283000,Pleumforbidden,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for iPhone,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x983682406631735296,4/10/2018 12:25,x204048788,abstaina_,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for iPhone,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x983665843795054592,4/10/2018 11:19,x1064429689,_SantiUribe,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for Android,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x983665006364495873,4/10/2018 11:16,x197565236,ThFundraiser,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for Android,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x983660598649962497,4/10/2018 10:58,x498800321,mssmrbv,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for iPad,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x983657327730376705,4/10/2018 10:45,x50067034,ahmadnaeem,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for Android,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x983656547283755008,4/10/2018 10:42,x967973991657873408,unkle5unny,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for Android,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x983653349168836608,4/10/2018 10:30,x222999406,buysextoys71,Buy top levothyroxine online on our free comparison site! BEST OFFER SUPER PRICES -Best Place To Compare Prices https://t.co/wAoqUl71is,twittbot.net,,,,FALSE,FALSE,0,0,,,bit.ly/a6PUYn?=4,https://t.co/wAoqUl71is,http://bit.ly/a6PUYn?=4,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
x983648472569131009,4/10/2018 10:10,x400956682,Khairoshi,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for iPhone,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x983642243683766272,4/10/2018 9:46,x410853605,orkeeda3,"RT @PharmaFactz: Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",Twitter for iPhone,,,,FALSE,TRUE,0,88,,,,,,,,,,,,,,x634618385,PharmaFactz,en,,,x983429468743258113,"Iron supplements decrease absorption of:

1) Levothyroxine

2) Fluoroquinolones

3) Tetracyclines

4) ACE inhibitors",,,,,,,,,,Levothyroxine,Cancer
x983641091797905408,4/10/2018 9:41,x55512134,chilitechris,"Following my recent blood test, got an email from my GP saying I would benefit from a slightly higher daily dose of levothyroxine. Thought the tablets were too small, they are like pinheads!",Twitter Web Client,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,Levothyroxine,Cancer
